Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
	Aaloori	Bangar Reddy		C	TX22	2019	11/15/2019	10029831
	Abed	Sam		C	CA50	2019	9/16/2019	9115395
	Abernathy	Kent		A	IN05	2019	4/28/2020	10035376
	Abernathy	Kent		C	IN05	2019	11/4/2019	10029803
Hon.	Abraham	Ralph Lee		O	LA05	2019	8/13/2020	10035239
Hon.	Abraham	Ralph Lee		P	LA05	2019	8/1/2019	9115214
Hon.	Abraham	Ralph Lee		X	LA05	2019	4/15/2020	30008373
	Abundis	Victor		C	MO06	2019	5/15/2019	9114693
Ms.	Ackerman	Patricia Geraldene		C	NV02	2019	12/9/2019	10031172
	Acosta	Christian F.		C	FL21	2019	12/31/2019	10032356
	Acosta	Frank		C	MI11	2019	9/5/2019	9115351
Hon.	Adams	Alma Shealey		O	NC12	2019	8/12/2020	10038367
Hon.	Adams	Alma Shealey		X	NC12	2019	4/15/2020	30008380
Mr.	Adams	Samuel Everett		W		2019		8216705
Mr.	Adams	Samuel Everett		X	FL06	2019	5/2/2019	30005223
Hon.	Aderholt	Robert B.		O	AL04	2019	8/13/2020	10037812
Hon.	Aderholt	Robert B.		X	AL04	2019	4/15/2020	30008387
	Adkins	Amanda		A	KS03	2019	5/7/2020	10035655
	Adkins	Amanda		C	KS03	2019	9/28/2019	10029559
	Adnan	Masroor Ahmad		C	TX17	2019	1/31/2020	10031111
	Adnan	Masroor Ahmad		X	TX17	2019	12/2/2019	30006247
Ms.	Afendoulis	Lynn Ann		C	MI03	2019	11/17/2019	10031039
	Aguero	Pedro Antonio	Jr.	D	TX16	2019	7/19/2019	9115175
Dr.	Aguilar	Erick Javier		C	FL04	2019	2/10/2020	10033613
Hon.	Aguilar	Pete		O	CA31	2019	8/4/2020	10037631
Hon.	Aguilar	Pete		X	CA31	2019	4/15/2020	30008392
	Ahumada	Alfredo		W	CA35	2019	10/16/2019	6643
	Albro	Catherine		D	MI03	2019	11/20/2019	8216727
	Allen	Anders Pope		D	AL06	2019	11/15/2019	8216687
Dr.	Allen	Jay Thomas		D	ME01	2019	8/15/2019	40001609
	Allen	Michael		C	TX18	2019	12/16/2019	10032264
Hon.	Allen	Richard W.		O	GA12	2019	8/10/2020	10036622
Hon.	Allen	Richard W.		X	GA12	2019	4/15/2020	30008409
	Aller	Gregory Benjamin		D	OR03	2019	9/20/2019	9115409
	Aller	Gregory Benjamin		W		2019		9115463
Hon.	Allred	Colin		A	TX32	2019	8/13/2021	10042905
Hon.	Allred	Colin		O	TX32	2019	8/13/2020	10037813
Hon.	Allred	Colin		X	TX32	2019	4/15/2020	30008411
	Amador	Antonio		C	CA09	2019	3/20/2020	8217104
Hon.	Amash	Justin		O	MI03	2019	8/13/2020	10037970
Hon.	Amash	Justin		P	MI03	2019	1/29/2019	20011070
Hon.	Amash	Justin		P	MI03	2019	5/14/2019	20011679
Hon.	Amash	Justin		X	MI03	2019	4/15/2020	30008415
Hon.	Amodei	Mark E.		O	NV02	2019	4/28/2020	10035383
Hon.	Amodei	Mark E.		X	NV02	2019	4/15/2020	30008420
	Anderson	Kathleen		C	UT04	2019	8/15/2019	10028868
	Anderson	Kathleen		X	UT04	2019	8/15/2019	30006066
Mr.	Anderson	Willie Jefferson	Jr.	C	FL02	2019	9/14/2019	10029445
Mr.	Anderson	Willie Jefferson	Jr.	D	FL02	2019	9/16/2019	40001648
	Andrews	Aliscia		C	VA10	2019	1/29/2020	10029822
	Andrews	Aliscia		X	VA10	2019	10/31/2019	30006209
	Andrews	Aliscia		X	VA10	2019	12/5/2019	30006262
	Anthony	Charles		D	MD03	2019	8/12/2019	40001606
	Apodaca	Rob		C	NM03	2019	8/1/2019	9115219
	Applefield	David		C	NJ04	2019	5/14/2019	10026941
Mr.	Aquino	Darren Dione		D	FL19	2019	3/27/2020	8217118
	Arballo	Phil		A	CA22	2019	8/20/2020	10036008
	Arballo	Phil		C	CA22	2019	9/11/2019	10029028
	Arenholz	Ashley Hinson		C	IA01	2019	12/7/2019	10031191
	Armendariz-Jackson	Irene		D	TX16	2019	8/29/2019	40001626
	Armitage	Christopher		D	WA05	2019	11/18/2019	40001717
Hon.	Armstrong	Kelly		O	ND01	2019	8/13/2020	10036965
